State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9903571313732168	0.0023677594482194157	7.193576206209356E-4	3.798014156394355E-5	9.169613090863796E-5	0.005700301814154983	0.0	1.704418393202864E-4	0.0	5.553316319947937E-4
2	0.05338416849316447	0.9339731496426291	0.011832167708400503	0.0	0.0	8.105141558059471E-4	0.0	0.0	0.0	0.0
3	0.09378836208995976	0.07206210659719142	0.7034866883244921	0.0922811140403279	0.0013263787280653554	0.025490272470618726	0.001500717441342142	0.004254657062873666	0.0	0.005809703245129071
4	0.003599820526533641	0.0	0.06580681512614212	0.8509729452843152	0.0168647980657675	0.0018642638273651184	0.05803235913897374	0.002520226501082162	0.0	3.3877152982048043E-4
5	0.007302084046123721	0.0	0.0011274653286220352	0.01633613211806008	0.7569461545247711	0.19562057380817077	0.017023052310608734	0.002467126870199541	0.0	0.0031774109934440647
6	0.1925553961499862	0.0013732746014716688	0.005968301301552441	7.411031668474423E-4	0.07110254936039259	0.6960413951136901	0.005095704682339983	0.00854661251843902	3.904933626831853E-5	0.01853661376901238
7	0.0	0.0	0.0010046818838979677	0.053698151881249954	0.016888167666926183	0.013388387755466951	0.7620457973497489	0.03471368068446553	0.11584994422330798	0.0024111885549366165
8	0.004633733812234897	1.2039551202710947E-5	8.711555211426557E-4	7.572342066774657E-4	5.774268098642326E-4	0.006721585768538001	0.010320951574007257	0.8948629995790864	0.07156487007080996	0.00967800310643642
9	0.0	0.0	0.0	0.0	0.0	9.973035891546356E-5	0.029501593261191988	0.062059772900324967	0.9013271307097694	0.007011772769798196
10	0.0073012706010338714	0.0	5.261460411384146E-4	4.006823115782904E-5	4.177929903985615E-4	0.007287442931862372	2.793289067194272E-4	0.0043169973749318195	0.0037377219409090363	0.9760932309818486
